Time,Open,High,Low,Close,Adj Close,Volume,bullish,volume_before_1,volume_diff_last_hour,volume_before_2,volume_diff_last_2_hour,volume_before_3,volume_diff_last_3_hour,volume_before_4,volume_diff_last_4_hour,volume_before_5,volume_diff_last_5_hour,close_before_1,close_diff_last_hour,close_before_2,close_diff_last_2_hour,close_before_3,close_diff_last_3_hour,close_before_4,close_diff_last_4_hour,close_before_5,close_diff_last_5_hour,close_before_6,close_diff_last_6_hour,close_before_7,close_diff_last_7_hour,close_before_8,close_diff_last_8_hour,close_before_9,close_diff_last_9_hour,SMA_15,SMA_30,SMA_indicator,SMA_indicator_before_1,SMA_indicator_before_2,SMA_indicator_before_3,SMA_indicator_before_4,Upper_Bollinger,Lower_Bollinger,Middle_Bollinger,close_diff_Upper_Bollinger,close_diff_Lower_Bollinger,Bollinger_indicator,Bollinger_indicator_before_1,Bollinger_indicator_before_2,Bollinger_indicator_before_3,Bollinger_indicator_before_4,true_range,holiday_day_diff_before,date,weekday,time,mean_sentiment_score,median_sentiment_score,std_sentiment_score,max_sentiment_score,min_sentiment_score
02-01-2019 09:30,315.5,319.7099915,313.8999939,318.4400024,318.4400024,724286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.4400024,318.4400024,0,,,,,,,318.4400024,,,,,,,,,34,2,2,1,0.132732993,0.174651265,0.190970886,0.47159934,-0.323868185
02-01-2019 10:30,318.4393005,322.3070068,317.3500061,320.5202942,320.5202942,394681,0,724286,,,,,,,,,,318.4400024,,,,,,,,,,,,,,,,,,319.4801483,319.4801483,0,0,,,,322.4221251,316.5381715,319.4801483,-1.90183093,3.982122678,2,,,,,4.957000732,34,2,2,2,0.227726132,0.227726132,0.041528344,0.257091105,0.198361158
02-01-2019 11:30,320.5675049,321.6586914,319.0935059,319.5477905,319.5477905,250973,0,394681,-329605,724286,,,,,,,,320.5202942,2.080291748,318.4400024,,,,,,,,,,,,,,,,319.5026957,319.5026957,0,0,0,,,321.5844532,317.4209382,319.5026957,-2.036662714,2.12685233,2,2,,,,2.565185547,34,2,2,3,,,,,
02-01-2019 12:30,319.7984924,323.6900024,319.25,323.3407898,323.3407898,274696,0,250973,-143708,394681,-329605,724286,,,,,,319.5477905,-0.972503662,320.5202942,2.080291748,318.4400024,,,,,,,,,,,,,,320.4622192,320.4622192,0,0,0,0,,324.6598506,316.2645879,320.4622192,-1.319060806,7.076201919,2,2,2,,,4.440002441,34,2,2,4,,,,,
02-01-2019 13:30,323.4432068,323.7900085,320.6799927,321.7600098,321.7600098,265741,0,274696,23723,250973,-143708,394681,-329605,724286,,,,323.3407898,3.792999268,319.5477905,-0.972503662,320.5202942,2.080291748,318.4400024,,,,,,,,,,,,320.7217773,320.7217773,0,0,0,0,0,324.5378604,316.9056943,320.7217773,-2.777850648,4.854315491,2,2,2,2,,3.110015869,34,2,2,5,-0.176062524,-0.176062524,,-0.176062524,-0.176062524
02-01-2019 14:30,322,322.7322998,319.5299988,320.8200073,320.8200073,365267,0,265741,-8955,274696,23723,250973,-143708,394681,-329605,724286,,321.7600098,-1.580780029,323.3407898,3.792999268,319.5477905,-0.972503662,320.5202942,2.080291748,318.4400024,,,,,,,,,,320.738149,320.738149,0,0,0,0,0,324.1522997,317.3239983,320.738149,-3.332292346,3.49600898,2,2,2,2,2,3.202301025,34,2,2,6,0.008445222,0.008445222,0.173952451,0.131448179,-0.114557736
02-01-2019 15:30,320.6700134,323.8500061,320.2443848,323.8399963,323.8399963,360878,0,365267,99526,265741,-8955,274696,23723,250973,-143708,394681,-329605,320.8200073,-0.940002441,321.7600098,-1.580780029,323.3407898,3.792999268,319.5477905,-0.972503662,320.5202942,2.080291748,318.4400024,,,,,,,,321.1812701,321.1812701,0,0,0,0,0,325.0814832,317.2810569,321.1812701,-1.24148687,6.558939437,2,2,2,2,2,3.605621338,34,2,2,7,0.167821118,0.134429678,0.230359942,0.467211753,-0.184280649
03-01-2019 09:30,318.9500122,319.5783997,312.3399963,312.8999939,312.8999939,1238390,1,360878,-4389,365267,99526,265741,-8955,274696,23723,250973,-143708,323.8399963,3.019989014,320.8200073,-0.940002441,321.7600098,-1.580780029,323.3407898,3.792999268,319.5477905,-0.972503662,320.5202942,2.080291748,318.4400024,,,,,,320.1461105,320.1461105,0,0,0,0,0,327.0256698,313.2665513,320.1461105,-14.12567588,-0.366557395,4,2,2,2,2,11.5,33,3,3,1,0.122597563,0.108124845,0.137925928,0.377098829,-0.220601767
03-01-2019 10:30,312.7600098,313.7443848,309.3999939,311.519989,311.519989,841506,1,1238390,877512,360878,-4389,365267,99526,265741,-8955,274696,23723,312.8999939,-10.94000244,323.8399963,3.019989014,320.8200073,-0.940002441,321.7600098,-1.580780029,323.3407898,3.792999268,319.5477905,-0.972503662,320.5202942,2.080291748,318.4400024,,,,319.1876526,319.1876526,0,0,0,0,0,327.8180287,310.5572764,319.1876526,-16.29803972,0.962712567,3,4,2,2,2,4.344390869,33,3,3,2,,,,,
03-01-2019 11:30,312.0249939,316.6499939,311.3800049,314.1000061,314.1000061,734290,1,841506,-396884,1238390,877512,360878,-4389,365267,99526,265741,-8955,311.519989,-1.380004883,312.8999939,-10.94000244,323.8399963,3.019989014,320.8200073,-0.940002441,321.7600098,-1.580780029,323.3407898,3.792999268,319.5477905,-0.972503662,320.5202942,2.080291748,318.4400024,,318.6788879,318.6788879,0,0,0,0,0,327.428809,309.9289669,318.6788879,-13.3288029,4.171039224,3,3,4,2,2,5.269989014,33,3,3,3,,,,,
